# symbol: 通貨コード
# name  : 名称
# fraud : 詐欺か否か（1は詐欺、0は対照群）
# year  : ホワイトペーパーの発行年
#
# fraudおよびyearは本研究の定義に基づく．
#
# 本データにおける「詐欺」はDead Coinsの基準に1つ以上該当することを示し，
# 当該暗号資産が投資家を欺く意図を持っていたと主張するものではない．
#
symbol,name,fraud,year
AAVE,AAVE,0,2020
ADA,Cardano,0,2017
ADI,Aditus,1,2018
ADT,adToken,1,2017
AID,Aidcoin,1,2017
AIT,AICHAIN,1,2018
ALGO,Algorand,0,2017
AMP,Amp,0,2020
APPC,AppCoins,1,2017
AR,Arweave,0,2018
ASTRO,Astronaut,1,2017
ATL,ATLANT,1,2017
ATM,Atmchain,1,2017
ATOM,Cosmos,0,2017
ATS,Autorship,1,2017
AUC,Auctus,1,2018
AUDIO,Audius,0,2020
AVAX,Avalanche,0,2019
AXPR,aXpire / Moola,1,2018
BAL,Balancer,0,2019
BAT,Basic Attention Token,0,2017
BBI,Beluga Pay,1,2017
BCPT,Blockmason,1,2017
BERRY,Rentberry,1,2017
BEZ,Bezop,1,2017
BIX,Bibox Token,1,2017
BKX,Bankex,1,2017
BLOCK,Blocknet,1,2018
BLT,Bloom,1,2018
BMC,Blackmoon,1,2018
BNB,BNB,0,2017
BNK,Bankera,1,2017
BORA,BORA,0,2018
BPT,Blockport,1,2018
BQ,Bitqy,1,2017
BQX,Bitquence,1,2017
BSTN,BitStation,1,2018
BTC,Bitcoin,0,2009
BTCST,Bitcoin Standard Hashrate Token,0,2020
BTG,Bitcoin Gold,0,2017
BTRST,Braintrust,0,2021
BTT,BitTorrent,0,2019
C20,CRYPTO20,1,2017
CAN,CanYaCoin,1,2018
CAPP,Cappasity,1,2018
CAT1,BitClave,1,2017
CAT2,Blockcat,1,2017
CBT,CommerceBlock,1,2017
CDT,CoinDash,1,2017
CELO,Celo,0,2020
CHP,CoinPoker,1,2017
CHSB,SwissBorg,0,2017
CHZ,Chiliz,0,2018
CL,Coinlancer,1,2017
COMP,Compound,0,2019
COSS,Coss,1,2017
CPC,CPChain,1,2018
